anzsco_code,anzsco_name,anzsco_name_2016,anzsco_name_2011,level,nfd
8399,Other Factory Process Workers,Other Factory Process Workers,Other Factory Process Workers,4,0
8410,"Farm, Forestry and Garden Workers, nfd","Farm, Forestry and Garden Workers, nfd","Farm, Forestry and Garden Workers nfd",4,1
8411,Aquaculture Workers,Aquaculture Workers,Aquaculture Workers,4,0
8412,Crop Farm Workers,Crop Farm Workers,Crop Farm Workers,4,0
8413,Forestry and Logging Workers,Forestry and Logging Workers,Forestry and Logging Workers,4,0
8414,Garden and Nursery Labourers,Garden and Nursery Labourers,Garden and Nursery Labourers,4,0
8415,Livestock Farm Workers,Livestock Farm Workers,Livestock Farm Workers,4,0
8416,Mixed Crop and Livestock Farm Workers,Mixed Crop and Livestock Farm Workers,Mixed Crop and Livestock Farm Workers,4,0
8419,"Other Farm, Forestry and Garden Workers","Other Farm, Forestry and Garden Workers","Other Farm, Forestry and Garden Workers",4,0
8510,"Food Preparation Assistants, nfd","Food Preparation Assistants, nfd",Food Preparation Assistants nfd,4,1
8511,Fast Food Cooks,Fast Food Cooks,Fast Food Cooks,4,0
8512,Food Trades Assistants,Food Trades Assistants,Food Trades Assistants,4,0
8513,Kitchenhands,Kitchenhands,Kitchenhands,4,0
8900,"Other Labourers, nfd","Other Labourers, nfd",Other Labourers nfd,4,1
8910,"Freight Handlers and Shelf Fillers, nfd","Freight Handlers and Shelf Fillers, nfd",Freight Handlers and Shelf Fillers nfd,4,1
8911,Freight and Furniture Handlers,Freight and Furniture Handlers,Freight and Furniture Handlers,4,0
8912,Shelf Fillers,Shelf Fillers,Shelf Fillers,4,0
8990,"Miscellaneous Labourers, nfd","Miscellaneous Labourers, nfd",Miscellaneous Labourers nfd,4,1
8991,Caretakers,Caretakers,Caretakers,4,0
8992,Deck and Fishing Hands,Deck and Fishing Hands,Deck and Fishing Hands,4,0
8993,Handypersons,Handypersons,Handypersons,4,0
8994,Motor Vehicle Parts and Accessories Fitters,Motor Vehicle Parts and Accessories Fitters,Motor Vehicle Parts and Accessories Fitters,4,0
8995,Printing Assistants and Table Workers,Printing Assistants and Table Workers,Printing Assistants and Table Workers,4,0
8996,Recycling and Rubbish Collectors,Recycling and Rubbish Collectors,Recycling and Rubbish Collectors,4,0
8997,Vending Machine Attendants,Vending Machine Attendants,Vending Machine Attendants,4,0
8999,Other Miscellaneous Labourers,Other Miscellaneous Labourers,Other Miscellaneous Labourers,4,0
100,"Managers, nfd","Managers, nfd",Managers nfd,3,1
111,"Chief Executives, General Managers and Legislators","Chief Executives, General Managers and Legislators","Chief Executives, General Managers and Legislators",3,0
121,Farmers and Farm Managers,Farmers and Farm Managers,Farmers and Farm Managers,3,0
130,"Specialist Managers, nfd","Specialist Managers, nfd",Specialist Managers nfd,3,1
131,"Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers","Advertising, Public Relations and Sales Managers",3,0
132,Business Administration Managers,Business Administration Managers,Business Administration Managers,3,0
133,"Construction, Distribution and Production Managers","Construction, Distribution and Production Managers","Construction, Distribution and Production Managers",3,0
134,"Education, Health and Welfare Services Managers","Education, Health and Welfare Services Managers","Education, Health and Welfare Services Managers",3,0
135,ICT Managers,ICT Managers,ICT Managers,3,0
139,Miscellaneous Specialist Managers,Miscellaneous Specialist Managers,Miscellaneous Specialist Managers,3,0
140,"Hospitality, Retail and Service Managers, nfd","Hospitality, Retail and Service Managers, nfd","Hospitality, Retail and Service Managers nfd",3,1
141,Accommodation and Hospitality Managers,Accommodation and Hospitality Managers,Accommodation and Hospitality Managers,3,0
142,Retail Managers,Retail Managers,Retail Managers,3,0
149,"Miscellaneous Hospitality, Retail and Service Managers","Miscellaneous Hospitality, Retail and Service Managers","Miscellaneous Hospitality, Retail and Service Managers",3,0
200,"Professionals, nfd","Professionals, nfd",Professionals nfd,3,1
210,"Arts and Media Professionals, nfd","Arts and Media Professionals, nfd",Arts and Media Professionals nfd,3,1
211,Arts Professionals,Arts Professionals,Arts Professionals,3,0
212,Media Professionals,Media Professionals,Media Professionals,3,0
220,"Business, Human Resource and Marketing Professionals, nfd","Business, Human Resource and Marketing Professionals, nfd","Business, Human Resource and Marketing Professionals nfd",3,1
221,"Accountants, Auditors and Company Secretaries","Accountants, Auditors and Company Secretaries","Accountants, Auditors and Company Secretaries",3,0
222,"Financial Brokers and Dealers, and Investment Advisers","Financial Brokers and Dealers, and Investment Advisers","Financial Brokers and Dealers, and Investment Advisers",3,0
223,Human Resource and Training Professionals,Human Resource and Training Professionals,Human Resource and Training Professionals,3,0
224,Information and Organisation Professionals,Information and Organisation Professionals,Information and Organisation Professionals,3,0
225,"Sales, Marketing and Public Relations Professionals","Sales, Marketing and Public Relations Professionals","Sales, Marketing and Public Relations Professionals",3,0
230,"Design, Engineering, Science and Transport Professionals, nfd","Design, Engineering, Science and Transport Professionals, nfd","Design, Engineering, Science and Transport Professionals nfd",3,1
231,Air and Marine Transport Professionals,Air and Marine Transport Professionals,Air and Marine Transport Professionals,3,0
232,"Architects, Designers, Planners and Surveyors","Architects, Designers, Planners and Surveyors","Architects, Designers, Planners and Surveyors",3,0
233,Engineering Professionals,Engineering Professionals,Engineering Professionals,3,0
234,Natural and Physical Science Professionals,Natural and Physical Science Professionals,Natural and Physical Science Professionals,3,0
240,"Education Professionals, nfd","Education Professionals, nfd",Education Professionals nfd,3,1
241,School Teachers,School Teachers,School Teachers,3,0
242,Tertiary Education Teachers,Tertiary Education Teachers,Tertiary Education Teachers,3,0
249,Miscellaneous Education Professionals,Miscellaneous Education Professionals,Miscellaneous Education Professionals,3,0
250,"Health Professionals, nfd","Health Professionals, nfd",Health Professionals nfd,3,1
251,Health Diagnostic and Promotion Professionals,Health Diagnostic and Promotion Professionals,Health Diagnostic and Promotion Professionals,3,0
252,Health Therapy Professionals,Health Therapy Professionals,Health Therapy Professionals,3,0
253,Medical Practitioners,Medical Practitioners,Medical Practitioners,3,0
254,Midwifery and Nursing Professionals,Midwifery and Nursing Professionals,Midwifery and Nursing Professionals,3,0
260,"ICT Professionals, nfd","ICT Professionals, nfd",ICT Professionals nfd,3,1
261,"Business and Systems Analysts, and Programmers","Business and Systems Analysts, and Programmers","Business and Systems Analysts, and Programmers",3,0
262,"Database and Systems Administrators, and ICT Security Specialists","Database and Systems Administrators, and ICT Security Specialists","Database and Systems Administrators, and ICT Security Specialists",3,0
263,ICT Network and Support Professionals,ICT Network and Support Professionals,ICT Network and Support Professionals,3,0
270,"Legal, Social and Welfare Professionals, nfd","Legal, Social and Welfare Professionals, nfd","Legal, Social and Welfare Professionals nfd",3,1
271,Legal Professionals,Legal Professionals,Legal Professionals,3,0
272,Social and Welfare Professionals,Social and Welfare Professionals,Social and Welfare Professionals,3,0
300,"Technicians and Trades Workers, nfd","Technicians and Trades Workers, nfd",Technicians and Trades Workers nfd,3,1
310,"Engineering, ICT and Science Technicians, nfd","Engineering, ICT and Science Technicians, nfd","Engineering, ICT and Science Technicians nfd",3,1
311,"Agricultural, Medical and Science Technicians","Agricultural, Medical and Science Technicians","Agricultural, Medical and Science Technicians",3,0
312,Building and Engineering Technicians,Building and Engineering Technicians,Building and Engineering Technicians,3,0
313,ICT and Telecommunications Technicians,ICT and Telecommunications Technicians,ICT and Telecommunications Technicians,3,0
320,"Automotive and Engineering Trades Workers, nfd","Automotive and Engineering Trades Workers, nfd",Automotive and Engineering Trades Workers nfd,3,1
321,Automotive Electricians and Mechanics,Automotive Electricians and Mechanics,Automotive Electricians and Mechanics,3,0
322,Fabrication Engineering Trades Workers,Fabrication Engineering Trades Workers,Fabrication Engineering Trades Workers,3,0
323,Mechanical Engineering Trades Workers,Mechanical Engineering Trades Workers,Mechanical Engineering Trades Workers,3,0
324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters","Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",3,0
330,"Construction Trades Workers, nfd","Construction Trades Workers, nfd",Construction Trades Workers nfd,3,1
331,"Bricklayers, and Carpenters and Joiners","Bricklayers, and Carpenters and Joiners","Bricklayers, and Carpenters and Joiners",3,0
332,Floor Finishers and Painting Trades Workers,Floor Finishers and Painting Trades Workers,Floor Finishers and Painting Trades Workers,3,0
333,"Glaziers, Plasterers and Tilers","Glaziers, Plasterers and Tilers","Glaziers, Plasterers and Tilers",3,0
334,Plumbers,Plumbers,Plumbers,3,0
340,"Electrotechnology and Telecommunications Trades Workers, nfd","Electrotechnology and Telecommunications Trades Workers, nfd",Electrotechnology and Telecommunications Trades Workers nfd,3,1
341,Electricians,Electricians,Electricians,3,0
342,Electronics and Telecommunications Trades Workers,Electronics and Telecommunications Trades Workers,Electronics and Telecommunications Trades Workers,3,0
351,Food Trades Workers,Food Trades Workers,Food Trades Workers,3,0
360,"Skilled Animal and Horticultural Workers, nfd","Skilled Animal and Horticultural Workers, nfd",Skilled Animal and Horticultural Workers nfd,3,1
361,"Animal Attendants and Trainers, and Shearers","Animal Attendants and Trainers, and Shearers","Animal Attendants and Trainers, and Shearers",3,0
362,Horticultural Trades Workers,Horticultural Trades Workers,Horticultural Trades Workers,3,0
390,"Other Technicians and Trades Workers, nfd","Other Technicians and Trades Workers, nfd",Other Technicians and Trades Workers nfd,3,1
391,Hairdressers,Hairdressers,Hairdressers,3,0
392,Printing Trades Workers,Printing Trades Workers,Printing Trades Workers,3,0
393,"Textile, Clothing and Footwear Trades Workers","Textile, Clothing and Footwear Trades Workers","Textile, Clothing and Footwear Trades Workers",3,0
394,Wood Trades Workers,Wood Trades Workers,Wood Trades Workers,3,0
399,Miscellaneous Technicians and Trades Workers,Miscellaneous Technicians and Trades Workers,Miscellaneous Technicians and Trades Workers,3,0
400,"Community and Personal Service Workers, nfd","Community and Personal Service Workers, nfd",Community and Personal Service Workers nfd,3,1
411,Health and Welfare Support Workers,Health and Welfare Support Workers,Health and Welfare Support Workers,3,0
420,"Carers and Aides, nfd","Carers and Aides, nfd",Carers and Aides nfd,3,1
421,Child Carers,Child Carers,Child Carers,3,0
422,Education Aides,Education Aides,Education Aides,3,0
423,Personal Carers and Assistants,Personal Carers and Assistants,Personal Carers and Assistants,3,0
431,Hospitality Workers,Hospitality Workers,Hospitality Workers,3,0
440,"Protective Service Workers, nfd","Protective Service Workers, nfd",Protective Service Workers nfd,3,1
441,"Defence Force Members, Fire Fighters and Police","Defence Force Members, Fire Fighters and Police","Defence Force Members, Fire Fighters and Police",3,0
442,Prison and Security Officers,Prison and Security Officers,Prison and Security Officers,3,0
450,"Sports and Personal Service Workers, nfd","Sports and Personal Service Workers, nfd",Sports and Personal Service Workers nfd,3,1
451,Personal Service and Travel Workers,Personal Service and Travel Workers,Personal Service and Travel Workers,3,0
452,Sports and Fitness Workers,Sports and Fitness Workers,Sports and Fitness Workers,3,0
500,"Clerical and Administrative Workers, nfd","Clerical and Administrative Workers, nfd",Clerical and Administrative Workers nfd,3,1
510,"Office Managers and Program Administrators, nfd","Office Managers and Program Administrators, nfd",Office Managers and Program Administrators nfd,3,1
511,"Contract, Program and Project Administrators","Contract, Program and Project Administrators","Contract, Program and Project Administrators",3,0
512,Office and Practice Managers,Office and Practice Managers,Office and Practice Managers,3,0
521,Personal Assistants and Secretaries,Personal Assistants and Secretaries,Personal Assistants and Secretaries,3,0
530,"General Clerical Workers, nfd","General Clerical Workers, nfd",General Clerical Workers nfd,3,1
531,General Clerks,General Clerks,General Clerks,3,0
532,Keyboard Operators,Keyboard Operators,Keyboard Operators,3,0
540,"Inquiry Clerks and Receptionists, nfd","Inquiry Clerks and Receptionists, nfd",Inquiry Clerks and Receptionists nfd,3,1
541,Call or Contact Centre Information Clerks,Call or Contact Centre Information Clerks,Call or Contact Centre Information Clerks,3,0
542,Receptionists,Receptionists,Receptionists,3,0
550,"Numerical Clerks, nfd","Numerical Clerks, nfd",Numerical Clerks nfd,3,1
551,Accounting Clerks and Bookkeepers,Accounting Clerks and Bookkeepers,Accounting Clerks and Bookkeepers,3,0
552,Financial and Insurance Clerks,Financial and Insurance Clerks,Financial and Insurance Clerks,3,0
561,Clerical and Office Support Workers,Clerical and Office Support Workers,Clerical and Office Support Workers,3,0
590,"Other Clerical and Administrative Workers, nfd","Other Clerical and Administrative Workers, nfd",Other Clerical and Administrative Workers nfd,3,1
591,Logistics Clerks,Logistics Clerks,Logistics Clerks,3,0
599,Miscellaneous Clerical and Administrative Workers,Miscellaneous Clerical and Administrative Workers,Miscellaneous Clerical and Administrative Workers,3,0
600,"Sales Workers, nfd","Sales Workers, nfd",Sales Workers nfd,3,1
610,"Sales Representatives and Agents, nfd","Sales Representatives and Agents, nfd",Sales Representatives and Agents nfd,3,1
611,Insurance Agents and Sales Representatives,Insurance Agents and Sales Representatives,Insurance Agents and Sales Representatives,3,0
612,Real Estate Sales Agents,Real Estate Sales Agents,Real Estate Sales Agents,3,0
621,Sales Assistants and Salespersons,Sales Assistants and Salespersons,Sales Assistants and Salespersons,3,0
630,"Sales Support Workers, nfd","Sales Support Workers, nfd",Sales Support Workers nfd,3,1
631,Checkout Operators and Office Cashiers,Checkout Operators and Office Cashiers,Checkout Operators and Office Cashiers,3,0
639,Miscellaneous Sales Support Workers,Miscellaneous Sales Support Workers,Miscellaneous Sales Support Workers,3,0
700,"Machinery Operators and Drivers, nfd","Machinery Operators and Drivers, nfd",Machinery Operators and Drivers nfd,3,1
710,"Machine and Stationary Plant Operators, nfd","Machine and Stationary Plant Operators, nfd",Machine and Stationary Plant Operators nfd,3,1
711,Machine Operators,Machine Operators,Machine Operators,3,0
712,Stationary Plant Operators,Stationary Plant Operators,Stationary Plant Operators,3,0
721,Mobile Plant Operators,Mobile Plant Operators,Mobile Plant Operators,3,0
730,"Road and Rail Drivers, nfd","Road and Rail Drivers, nfd",Road and Rail Drivers nfd,3,1
731,"Automobile, Bus and Rail Drivers","Automobile, Bus and Rail Drivers","Automobile, Bus and Rail Drivers",3,0
732,Delivery Drivers,Delivery Drivers,Delivery Drivers,3,0
733,Truck Drivers,Truck Drivers,Truck Drivers,3,0
741,Storepersons,Storepersons,Storepersons,3,0
800,"Labourers, nfd","Labourers, nfd",Labourers nfd,3,1
811,Cleaners and Laundry Workers,Cleaners and Laundry Workers,Cleaners and Laundry Workers,3,0
821,Construction and Mining Labourers,Construction and Mining Labourers,Construction and Mining Labourers,3,0
830,"Factory Process Workers, nfd","Factory Process Workers, nfd",Factory Process Workers nfd,3,1
831,Food Process Workers,Food Process Workers,Food Process Workers,3,0
832,Packers and Product Assemblers,Packers and Product Assemblers,Packers and Product Assemblers,3,0
839,Miscellaneous Factory Process Workers,Miscellaneous Factory Process Workers,Miscellaneous Factory Process Workers,3,0
841,"Farm, Forestry and Garden Workers","Farm, Forestry and Garden Workers","Farm, Forestry and Garden Workers",3,0
851,Food Preparation Assistants,Food Preparation Assistants,Food Preparation Assistants,3,0
890,"Other Labourers, nfd","Other Labourers, nfd",Other Labourers nfd,3,1
891,Freight Handlers and Shelf Fillers,Freight Handlers and Shelf Fillers,Freight Handlers and Shelf Fillers,3,0
899,Miscellaneous Labourers,Miscellaneous Labourers,Miscellaneous Labourers,3,0
10,"Managers, nfd","Managers, nfd",Managers nfd,2,1
11,"Chief Executives, General Managers and Legislators","Chief Executives, General Managers and Legislators","Chief Executives, General Managers and Legislators",2,0
12,Farmers and Farm Managers,Farmers and Farm Managers,Farmers and Farm Managers,2,0
13,Specialist Managers,Specialist Managers,Specialist Managers,2,0
14,"Hospitality, Retail and Service Managers","Hospitality, Retail and Service Managers","Hospitality, Retail and Service Managers",2,0
20,"Professionals, nfd","Professionals, nfd",Professionals nfd,2,1
21,Arts and Media Professionals,Arts and Media Professionals,Arts and Media Professionals,2,0
22,"Business, Human Resource and Marketing Professionals","Business, Human Resource and Marketing Professionals","Business, Human Resource and Marketing Professionals",2,0
23,"Design, Engineering, Science and Transport Professionals","Design, Engineering, Science and Transport Professionals","Design, Engineering, Science and Transport Professionals",2,0
24,Education Professionals,Education Professionals,Education Professionals,2,0
25,Health Professionals,Health Professionals,Health Professionals,2,0
26,ICT Professionals,ICT Professionals,ICT Professionals,2,0
27,"Legal, Social and Welfare Professionals","Legal, Social and Welfare Professionals","Legal, Social and Welfare Professionals",2,0
30,"Technicians and Trades Workers, nfd","Technicians and Trades Workers, nfd",Technicians and Trades Workers nfd,2,1
31,"Engineering, ICT and Science Technicians","Engineering, ICT and Science Technicians","Engineering, ICT and Science Technicians",2,0
32,Automotive and Engineering Trades Workers,Automotive and Engineering Trades Workers,Automotive and Engineering Trades Workers,2,0
33,Construction Trades Workers,Construction Trades Workers,Construction Trades Workers,2,0
34,Electrotechnology and Telecommunications Trades Workers,Electrotechnology and Telecommunications Trades Workers,Electrotechnology and Telecommunications Trades Workers,2,0
35,Food Trades Workers,Food Trades Workers,Food Trades Workers,2,0
36,Skilled Animal and Horticultural Workers,Skilled Animal and Horticultural Workers,Skilled Animal and Horticultural Workers,2,0
39,Other Technicians and Trades Workers,Other Technicians and Trades Workers,Other Technicians and Trades Workers,2,0
40,"Community and Personal Service Workers, nfd","Community and Personal Service Workers, nfd",Community and Personal Service Workers nfd,2,1
41,Health and Welfare Support Workers,Health and Welfare Support Workers,Health and Welfare Support Workers,2,0
42,Carers and Aides,Carers and Aides,Carers and Aides,2,0
43,Hospitality Workers,Hospitality Workers,Hospitality Workers,2,0
44,Protective Service Workers,Protective Service Workers,Protective Service Workers,2,0
45,Sports and Personal Service Workers,Sports and Personal Service Workers,Sports and Personal Service Workers,2,0
50,"Clerical and Administrative Workers, nfd","Clerical and Administrative Workers, nfd",Clerical and Administrative Workers nfd,2,1
51,Office Managers and Program Administrators,Office Managers and Program Administrators,Office Managers and Program Administrators,2,0
52,Personal Assistants and Secretaries,Personal Assistants and Secretaries,Personal Assistants and Secretaries,2,0
53,General Clerical Workers,General Clerical Workers,General Clerical Workers,2,0
54,Inquiry Clerks and Receptionists,Inquiry Clerks and Receptionists,Inquiry Clerks and Receptionists,2,0
55,Numerical Clerks,Numerical Clerks,Numerical Clerks,2,0
56,Clerical and Office Support Workers,Clerical and Office Support Workers,Clerical and Office Support Workers,2,0
59,Other Clerical and Administrative Workers,Other Clerical and Administrative Workers,Other Clerical and Administrative Workers,2,0
60,"Sales Workers, nfd","Sales Workers, nfd",Sales Workers nfd,2,1
61,Sales Representatives and Agents,Sales Representatives and Agents,Sales Representatives and Agents,2,0
62,Sales Assistants and Salespersons,Sales Assistants and Salespersons,Sales Assistants and Salespersons,2,0
63,Sales Support Workers,Sales Support Workers,Sales Support Workers,2,0
70,"Machinery Operators and Drivers, nfd","Machinery Operators and Drivers, nfd",Machinery Operators and Drivers nfd,2,1
71,Machine and Stationary Plant Operators,Machine and Stationary Plant Operators,Machine and Stationary Plant Operators,2,0
72,Mobile Plant Operators,Mobile Plant Operators,Mobile Plant Operators,2,0
73,Road and Rail Drivers,Road and Rail Drivers,Road and Rail Drivers,2,0
74,Storepersons,Storepersons,Storepersons,2,0
80,"Labourers, nfd","Labourers, nfd",Labourers nfd,2,1
81,Cleaners and Laundry Workers,Cleaners and Laundry Workers,Cleaners and Laundry Workers,2,0
82,Construction and Mining Labourers,Construction and Mining Labourers,Construction and Mining Labourers,2,0
83,Factory Process Workers,Factory Process Workers,Factory Process Workers,2,0
84,"Farm, Forestry and Garden Workers","Farm, Forestry and Garden Workers","Farm, Forestry and Garden Workers",2,0
85,Food Preparation Assistants,Food Preparation Assistants,Food Preparation Assistants,2,0
89,Other Labourers,Other Labourers,Other Labourers,2,0
1,Managers,Managers,Managers,1,0
2,Professionals,Professionals,Professionals,1,0
3,Technicians and Trades Workers,Technicians and Trades Workers,Technicians and Trades Workers,1,0
4,Community and Personal Service Workers,Community and Personal Service Workers,Community and Personal Service Workers,1,0
5,Clerical and Administrative Workers,Clerical and Administrative Workers,Clerical and Administrative Workers,1,0
6,Sales Workers,Sales Workers,Sales Workers,1,0
7,Machinery Operators and Drivers,Machinery Operators and Drivers,Machinery Operators and Drivers,1,0
8,Labourers,Labourers,Labourers,1,0
